resource,dataset,dataset_element_id,excel_column,category_option_combination,category_option_combination_id,has_category_combination
/dataValueSets,K3JmywfYqtj,SHvCgspzSfi,# of samples submitted,facility,x6muJUngYKi,yes
/dataValueSets,K3JmywfYqtj,SHvCgspzSfi,# of samples submitted,community,wr6xkHqanTT,yes
